pair,open_time,close_time,open,high,low,close,volume
BTCUSDT,2023-09-30 17:00:00,2023-09-30 20:59:59,26962.57000000,27048.00000000,26954.09000000,27044.76000000,1349.47617000
BTCUSDT,2023-09-30 21:00:00,2023-10-01 00:59:59,27044.77000000,27158.59000000,27020.90000000,27107.95000000,2655.15215000
BTCUSDT,2023-10-01 01:00:00,2023-10-01 04:59:59,27107.94000000,27289.08000000,27086.74000000,27187.71000000,3969.23722000
BTCUSDT,2023-10-01 05:00:00,2023-10-01 08:59:59,27187.71000000,27229.29000000,27083.24000000,27153.18000000,3029.81327000
BTCUSDT,2023-10-01 09:00:00,2023-10-01 12:59:59,27153.17000000,27155.00000000,27035.78000000,27103.02000000,2119.78834000
BTCUSDT,2023-10-01 13:00:00,2023-10-01 16:59:59,27103.02000000,28065.51000000,27033.10000000,27992.57000000,11479.34753000
BTCUSDT,2023-10-01 17:00:00,2023-10-01 20:59:59,27992.58000000,28210.00000000,27826.65000000,28126.54000000,8265.67461000
BTCUSDT,2023-10-01 21:00:00,2023-10-02 00:59:59,28126.54000000,28430.00000000,27910.95000000,28311.91000000,8806.14392000
BTCUSDT,2023-10-02 01:00:00,2023-10-02 04:59:59,28311.91000000,28484.28000000,28187.69000000,28198.04000000,9240.50392000
BTCUSDT,2023-10-02 05:00:00,2023-10-02 08:59:59,28198.05000000,28580.00000000,27983.00000000,28026.31000000,11992.24274000
BTCUSDT,2023-10-02 09:00:00,2023-10-02 12:59:59,28026.30000000,28123.39000000,27631.41000000,27964.99000000,9935.03954000
BTCUSDT,2023-10-02 13:00:00,2023-10-02 16:59:59,27965.00000000,27965.94000000,27281.44000000,27494.51000000,8831.53768000
BTCUSDT,2023-10-02 17:00:00,2023-10-02 20:59:59,27494.51000000,27640.00000000,27381.48000000,27601.55000000,5450.72832000
BTCUSDT,2023-10-02 21:00:00,2023-10-03 00:59:59,27601.54000000,27676.52000000,27521.43000000,27540.64000000,3052.34360000
BTCUSDT,2023-10-03 01:00:00,2023-10-03 04:59:59,27540.65000000,27642.83000000,27475.00000000,27559.99000000,3884.99520000
BTCUSDT,2023-10-03 05:00:00,2023-10-03 08:59:59,27560.00000000,27579.70000000,27234.55000000,27345.00000000,8008.49633000
BTCUSDT,2023-10-03 09:00:00,2023-10-03 12:59:59,27345.00000000,27486.20000000,27250.00000000,27275.00000000,4195.05272000
BTCUSDT,2023-10-03 13:00:00,2023-10-03 16:59:59,27275.00000000,27469.65000000,27160.50000000,27426.46000000,4337.34938000
BTCUSDT,2023-10-03 17:00:00,2023-10-03 20:59:59,27426.45000000,27510.29000000,27202.00000000,27430.43000000,6836.89213000
BTCUSDT,2023-10-03 21:00:00,2023-10-04 00:59:59,27430.43000000,27454.98000000,27350.75000000,27453.78000000,2257.47331000
