symbol,open_time,close_time,open,high,low,close,volume
BTCUSDT,2023-12-31 16:00:00,2023-12-31 19:59:59,42283.58000000,42775.00000000,42230.08000000,42330.49000000,3948.08335000
BTCUSDT,2023-12-31 20:00:00,2023-12-31 23:59:59,42330.50000000,42500.00000000,42180.77000000,42492.46000000,2706.99880000
BTCUSDT,2024-01-01 00:00:00,2024-01-01 03:59:59,42492.46000000,42762.39000000,42452.58000000,42690.20000000,2948.80274000
BTCUSDT,2024-01-01 04:00:00,2024-01-01 07:59:59,42690.21000000,42847.07000000,42580.00000000,42783.05000000,2936.44406000
BTCUSDT,2024-01-01 08:00:00,2024-01-01 11:59:59,42783.05000000,43550.00000000,42664.42000000,43517.99000000,5686.97164000
BTCUSDT,2024-01-01 12:00:00,2024-01-01 15:59:59,43517.98000000,44184.10000000,43361.60000000,44179.55000000,8946.99844000
BTCUSDT,2024-01-01 16:00:00,2024-01-01 19:59:59,44179.55000000,45500.00000000,44148.34000000,45402.38000000,17093.28659000
BTCUSDT,2024-01-01 20:00:00,2024-01-01 23:59:59,45402.38000000,45643.75000000,45121.96000000,45455.53000000,8388.42302000
BTCUSDT,2024-01-02 00:00:00,2024-01-02 03:59:59,45455.52000000,45879.63000000,45200.00000000,45433.99000000,10027.39458000
BTCUSDT,2024-01-02 04:00:00,2024-01-02 07:59:59,45433.99000000,45800.00000000,44833.33000000,45184.82000000,13236.12915000
BTCUSDT,2024-01-02 08:00:00,2024-01-02 11:59:59,45184.83000000,45399.84000000,44790.96000000,45039.49000000,9745.60445000
BTCUSDT,2024-01-02 12:00:00,2024-01-02 15:59:59,45039.49000000,45297.26000000,44600.00000000,44946.91000000,6655.56882000
BTCUSDT,2024-01-02 16:00:00,2024-01-02 19:59:59,44946.91000000,45410.91000000,44862.11000000,45262.69000000,4750.68596000
BTCUSDT,2024-01-02 20:00:00,2024-01-02 23:59:59,45262.70000000,45384.84000000,44940.93000000,45011.77000000,4691.11517000
BTCUSDT,2024-01-03 00:00:00,2024-01-03 03:59:59,45011.77000000,45500.00000000,43500.00000000,43702.88000000,13237.52778000
BTCUSDT,2024-01-03 04:00:00,2024-01-03 07:59:59,43702.89000000,43716.00000000,40750.00000000,43000.01000000,35484.15210000
BTCUSDT,2024-01-03 08:00:00,2024-01-03 11:59:59,43000.01000000,43567.92000000,42000.00000000,42596.67000000,16895.34192000
BTCUSDT,2024-01-03 12:00:00,2024-01-03 15:59:59,42596.66000000,42966.27000000,42518.70000000,42845.23000000,6135.72880000
BTCUSDT,2024-01-03 16:00:00,2024-01-03 19:59:59,42845.23000000,43220.56000000,42613.77000000,43102.80000000,5488.13855000
BTCUSDT,2024-01-03 20:00:00,2024-01-03 23:59:59,43102.79000000,43273.08000000,42756.97000000,42763.08000000,5443.39629000
BTCUSDT,2024-01-04 00:00:00,2024-01-04 03:59:59,42763.08000000,43233.81000000,42616.28000000,43176.32000000,6746.40949000
BTCUSDT,2024-01-04 04:00:00,2024-01-04 07:59:59,43176.33000000,44329.99000000,43097.06000000,44051.10000000,11599.01023000
BTCUSDT,2024-01-04 08:00:00,2024-01-04 11:59:59,44051.10000000,44437.50000000,43777.86000000,43956.48000000,9399.52176000
BTCUSDT,2024-01-04 12:00:00,2024-01-04 15:59:59,43956.48000000,44729.58000000,43890.90000000,44151.10000000,9361.58702000
BTCUSDT,2024-01-04 16:00:00,2024-01-04 19:59:59,44151.10000000,44284.00000000,42450.00000000,43465.21000000,11721.50264000
BTCUSDT,2024-01-04 20:00:00,2024-01-04 23:59:59,43465.21000000,43926.00000000,43187.89000000,43777.47000000,4949.61031000
BTCUSDT,2024-01-05 00:00:00,2024-01-05 03:59:59,43777.48000000,44324.80000000,43433.00000000,43771.34000000,7055.63723000
BTCUSDT,2024-01-05 04:00:00,2024-01-05 07:59:59,43771.34000000,44110.07000000,43100.00000000,43500.01000000,10044.28040000
BTCUSDT,2024-01-05 08:00:00,2024-01-05 11:59:59,43500.01000000,43808.07000000,43100.46000000,43600.00000000,7460.07613000
BTCUSDT,2024-01-05 12:00:00,2024-01-05 15:59:59,43600.00000000,44357.46000000,43580.51000000,44145.11000000,6844.14656000
BTCUSDT,2024-01-05 16:00:00,2024-01-05 19:59:59,44145.12000000,44214.42000000,43812.50000000,43931.10000000,3123.46193000
BTCUSDT,2024-01-05 20:00:00,2024-01-05 23:59:59,43931.10000000,43971.10000000,43397.05000000,43653.20000000,4242.79756000
BTCUSDT,2024-01-06 00:00:00,2024-01-06 03:59:59,43653.20000000,43771.10000000,43551.28000000,43671.96000000,2449.54997000
BTCUSDT,2024-01-06 04:00:00,2024-01-06 07:59:59,43671.97000000,43920.08000000,43527.27000000,43867.17000000,2610.13838000
BTCUSDT,2024-01-06 08:00:00,2024-01-06 11:59:59,43867.17000000,44148.58000000,43828.50000000,43906.36000000,2971.24432000
BTCUSDT,2024-01-06 12:00:00,2024-01-06 15:59:59,43906.35000000,43980.00000000,43611.19000000,43968.32000000,2437.86928000
BTCUSDT,2024-01-06 16:00:00,2024-01-06 19:59:59,43968.32000000,44259.29000000,43833.40000000,43940.41000000,3397.43777000
BTCUSDT,2024-01-06 20:00:00,2024-01-06 23:59:59,43940.41000000,44100.00000000,43843.52000000,44080.00000000,2347.11787000
BTCUSDT,2024-01-07 00:00:00,2024-01-07 03:59:59,44080.00000000,44167.81000000,43880.65000000,44061.10000000,3023.73501000
BTCUSDT,2024-01-07 04:00:00,2024-01-07 07:59:59,44061.10000000,44480.59000000,43945.15000000,44047.57000000,5972.98911000
BTCUSDT,2024-01-07 08:00:00,2024-01-07 11:59:59,44047.57000000,44262.53000000,43700.00000000,44244.77000000,3590.89146000
BTCUSDT,2024-01-07 12:00:00,2024-01-07 15:59:59,44244.77000000,44269.92000000,43572.09000000,43929.02000000,4691.67958000
BTCUSDT,2024-01-07 16:00:00,2024-01-07 19:59:59,43929.01000000,43986.00000000,43175.00000000,43518.20000000,7371.99098000
BTCUSDT,2024-01-07 20:00:00,2024-01-07 23:59:59,43518.20000000,44341.80000000,43430.79000000,43974.55000000,7157.43221000
BTCUSDT,2024-01-08 00:00:00,2024-01-08 03:59:59,43974.55000000,44688.00000000,43641.73000000,44635.99000000,6636.26767000
BTCUSDT,2024-01-08 04:00:00,2024-01-08 07:59:59,44636.00000000,45333.00000000,44350.00000000,44963.04000000,17212.53878000
BTCUSDT,2024-01-08 08:00:00,2024-01-08 11:59:59,44963.04000000,47248.99000000,44793.97000000,46979.35000000,24462.97732000
BTCUSDT,2024-01-08 12:00:00,2024-01-08 15:59:59,46979.36000000,47207.16000000,46653.84000000,46951.04000000,9973.36893000
BTCUSDT,2024-01-08 16:00:00,2024-01-08 19:59:59,46951.04000000,47150.00000000,46230.00000000,46926.96000000,10102.12931000
BTCUSDT,2024-01-08 20:00:00,2024-01-08 23:59:59,46926.96000000,46940.00000000,46599.43000000,46825.51000000,4707.40981000
BTCUSDT,2024-01-09 00:00:00,2024-01-09 03:59:59,46825.52000000,46874.94000000,46381.10000000,46615.99000000,6018.83491000
