pair,open_time,close_time,open,high,low,close,volume
ETHUSDT,2023-12-31 16:00:00,2023-12-31 19:59:59,2281.87000000,2306.60000000,2271.00000000,2273.81000000,35739.33360000
ETHUSDT,2023-12-31 20:00:00,2023-12-31 23:59:59,2273.80000000,2287.88000000,2265.24000000,2284.67000000,28107.51330000
ETHUSDT,2024-01-01 00:00:00,2024-01-01 03:59:59,2284.68000000,2305.05000000,2280.00000000,2304.47000000,27894.10920000
ETHUSDT,2024-01-01 04:00:00,2024-01-01 07:59:59,2304.47000000,2318.34000000,2294.84000000,2314.70000000,32165.85220000
ETHUSDT,2024-01-01 08:00:00,2024-01-01 11:59:59,2314.69000000,2340.98000000,2306.48000000,2337.26000000,46802.25260000
ETHUSDT,2024-01-01 12:00:00,2024-01-01 15:59:59,2337.27000000,2352.37000000,2323.66000000,2352.04000000,45993.63050000
ETHUSDT,2024-01-01 16:00:00,2024-01-01 19:59:59,2352.05000000,2397.56000000,2346.95000000,2386.43000000,99666.50040000
ETHUSDT,2024-01-01 20:00:00,2024-01-01 23:59:59,2386.42000000,2392.40000000,2373.69000000,2385.84000000,50541.65860000
ETHUSDT,2024-01-02 00:00:00,2024-01-02 03:59:59,2385.84000000,2431.30000000,2380.09000000,2391.24000000,106170.14600000
ETHUSDT,2024-01-02 04:00:00,2024-01-02 07:59:59,2391.24000000,2404.68000000,2352.04000000,2357.48000000,88164.73050000
ETHUSDT,2024-01-02 08:00:00,2024-01-02 11:59:59,2357.48000000,2372.75000000,2350.19000000,2369.19000000,56961.74440000
ETHUSDT,2024-01-02 12:00:00,2024-01-02 15:59:59,2369.19000000,2380.00000000,2341.00000000,2355.34000000,56536.88430000
ETHUSDT,2024-01-02 16:00:00,2024-01-02 19:59:59,2355.35000000,2384.66000000,2347.40000000,2368.51000000,46709.84250000
ETHUSDT,2024-01-02 20:00:00,2024-01-02 23:59:59,2368.51000000,2380.90000000,2356.99000000,2361.64000000,46554.48640000
ETHUSDT,2024-01-03 00:00:00,2024-01-03 03:59:59,2361.65000000,2385.45000000,2294.01000000,2307.68000000,108706.84800000
ETHUSDT,2024-01-03 04:00:00,2024-01-03 07:59:59,2307.99000000,2308.60000000,2100.00000000,2240.40000000,369717.43630000
ETHUSDT,2024-01-03 08:00:00,2024-01-03 11:59:59,2240.39000000,2245.33000000,2188.00000000,2206.53000000,152307.77410000
ETHUSDT,2024-01-03 12:00:00,2024-01-03 15:59:59,2206.54000000,2227.87000000,2196.23000000,2209.72000000,74733.09960000
ETHUSDT,2024-01-03 16:00:00,2024-01-03 19:59:59,2209.72000000,2239.79000000,2201.91000000,2231.08000000,59330.80700000
ETHUSDT,2024-01-03 20:00:00,2024-01-03 23:59:59,2231.07000000,2244.93000000,2220.00000000,2221.85000000,69021.43070000
ETHUSDT,2024-01-04 00:00:00,2024-01-04 03:59:59,2221.85000000,2230.71000000,2205.00000000,2228.14000000,61027.06520000
ETHUSDT,2024-01-04 04:00:00,2024-01-04 07:59:59,2228.13000000,2285.99000000,2222.70000000,2276.87000000,113391.04430000
